City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tupiza,97,BO,1627620246,17,-21.45,-65.7167,42.46,7.27
Passagem Franca,9,BR,1627620248,71,-6.1797,-43.7836,70.86,1.21
Ouadda,87,CF,1627620250,97,8.0777,22.4007,66.49,2.64
Solnechnyy,79,RU,1627619924,66,50.7214,136.6319,70.14,7.34
Lowestoft,100,GB,1627620253,90,52.4752,1.7516,59.02,8.72
Gravelbourg,40,CA,1627620255,46,49.8834,-106.5512,70.07,9.71
Mar del Plata,0,AR,1627619882,68,-38.0023,-57.5575,48.13,1.99
Arrondissement de Saint-Denis,90,FR,1627620109,79,48.9167,2.3333,61.57,3.44
Mayumba,9,GA,1627620257,86,-3.432,10.6554,71.4,5.23
Severo-Kuril'sk,79,RU,1627619869,84,50.6789,156.125,63.03,7.05
Pisco,90,PE,1627619823,82,-13.7,-76.2167,62.65,3.44
Klaksvík,100,FO,1627619893,89,62.2266,-6.589,49.12,16.8
Ponta do Sol,11,PT,1627619725,79,32.6667,-17.1,70.43,6.06
Lüderitz,0,NA,1627619876,38,-26.6481,15.1594,63.37,11.56
Caravelas,100,BR,1627619913,85,-17.7125,-39.2481,67.28,14.52
Coquimbo,90,CL,1627620260,93,-29.9533,-71.3436,49.73,2.3
Burns Lake,74,CA,1627620262,69,54.2331,-125.7533,65.62,3.49
Wad Medani,59,SD,1627620263,76,14.4012,33.5199,78.91,21.27
Riyadh,33,SA,1627620083,11,24.6877,46.7219,91.54,3.62
Ribeira Brava,9,PT,1627620264,81,32.65,-17.0667,70.43,6.17
Kroya,26,ID,1627620266,69,-7.6331,109.2461,83.98,10.65
Ixtapa,22,MX,1627620267,84,20.7,-105.2,76.17,2.3
Matara,23,LK,1627620143,72,5.9485,80.5353,83.97,13.85
Asău,0,RO,1627620269,71,46.4333,26.4,71.96,0.85
Westport,90,US,1627620270,93,41.1415,-73.3579,73.44,4.0
Charters Towers,11,AU,1627620272,25,-20.1,146.2667,86.9,1.97
Vestmanna,82,FO,1627620273,93,62.1564,-7.1664,47.32,17.27
Coyhaique,90,CL,1627619718,100,-45.5752,-72.0662,39.15,5.75
Vao,5,NC,1627620275,74,-22.6667,167.4833,70.79,25.26
Moyale,97,KE,1627620275,69,3.5167,39.0584,63.66,14.38
Bengkulu,22,ID,1627620277,65,-3.8004,102.2655,85.77,11.68
Ucluelet,21,CA,1627620280,90,48.9329,-125.5528,59.09,1.01
Nikolskoye,57,RU,1627619700,67,59.7035,30.7861,67.01,9.04
Eyl,100,SO,1627620285,58,7.9803,49.8164,79.88,24.96
Moose Factory,90,CA,1627620286,81,51.2585,-80.6094,51.8,3.44
Bilma,39,NE,1627619932,32,18.6853,12.9164,90.16,5.55
Jamestown,20,US,1627620288,94,42.097,-79.2353,71.19,4.88
Zhangye,0,CN,1627620289,10,38.9342,100.4517,97.36,4.74
Kahului,40,US,1627619852,80,20.8947,-156.47,80.62,18.41
Sterling,75,US,1627620290,92,39.0062,-77.4286,77.11,0.0
Marrakesh,40,MA,1627620291,61,31.6315,-8.0083,77.07,4.61
Rokytne,47,UA,1627620292,71,51.2796,27.214,68.32,5.37
Isangel,48,VU,1627619964,78,-19.55,169.2667,74.32,7.4
Tuktoyaktuk,90,CA,1627620293,94,69.4541,-133.0374,57.2,3.44
Saldanha,36,ZA,1627619858,82,-33.0117,17.9442,42.85,4.59
Termez,13,UZ,1627620295,23,37.2242,67.2783,87.89,16.11
Chapada dos Guimarães,0,BR,1627620295,27,-15.4606,-55.7497,49.66,2.93
Lapeer,40,US,1627620297,100,43.0514,-83.3188,71.38,0.0
Yomou,68,GN,1627620298,98,7.5603,-9.2653,65.84,1.74
Kirakira,25,SB,1627620300,80,-10.4544,161.9205,82.11,7.85
Barpeta,87,IN,1627620301,77,26.3167,91.0,86.09,9.28
Zhigansk,2,RU,1627620303,33,66.7697,123.3711,71.96,2.91
Miramar,1,US,1627620306,84,25.9873,-80.2323,82.02,0.0
Norman Wells,75,CA,1627620309,72,65.282,-126.8329,66.24,2.3
Tiarei,55,PF,1627619747,75,-17.5333,-149.3333,78.01,1.9
Saint-François,0,FR,1627620109,92,46.4154,3.9054,61.18,1.14
Gobabis,0,NA,1627620020,41,-22.45,18.9667,44.26,10.92
Williston,96,US,1627620313,73,48.147,-103.618,70.21,5.97
Tessalit,44,ML,1627620314,37,20.1986,1.0114,85.8,7.74
Belmonte,93,BR,1627620316,90,-15.8631,-38.8828,70.3,16.08
Rincon,1,US,1627620318,93,32.296,-81.2354,81.86,4.61
San Patricio,79,US,1627620320,75,28.017,-97.5169,82.89,7.0
Paita,97,PE,1627620233,83,-5.0892,-81.1144,66.99,11.34
Ayan,100,RU,1627620321,74,56.45,138.1667,55.65,20.8
Chicamán,99,GT,1627620324,98,15.4,-90.7667,58.77,2.91
Harpanahalli,100,IN,1627620326,66,14.8,75.9833,78.48,20.42
Mossamedes,2,AO,1627620326,81,-15.1961,12.1522,62.92,2.55
Mahébourg,75,MU,1627619904,68,-20.4081,57.7,72.25,17.27
Lafiagi,100,NG,1627620328,87,8.8667,5.4167,73.47,3.53
Shimoda,56,JP,1627620330,71,34.6667,138.95,88.16,4.18
Telimele,90,GN,1627620330,99,10.9167,-13.3333,67.75,1.1
Turukhansk,100,RU,1627620332,57,65.8167,87.9833,68.77,11.18
Hilo,75,US,1627619790,79,19.7297,-155.09,80.33,8.05
Juneau,1,US,1627620334,57,58.3019,-134.4197,69.8,4.61
Ürümqi,0,CN,1627620335,30,43.801,87.6005,83.35,6.71
Cabedelo,86,BR,1627620336,83,-6.9811,-34.8339,74.07,8.68
Tiznit Province,46,MA,1627620337,37,29.5833,-9.5,82.42,7.61
Mina,81,MX,1627620339,38,26.0011,-100.5299,76.06,5.44
Kumul,1,CN,1627620341,12,42.8,93.45,102.0,3.0
Camaná,68,PE,1627620342,85,-16.6228,-72.7111,59.68,4.83
Salalah,90,OM,1627620315,89,17.0151,54.0924,78.89,10.36
Ostrovnoy,11,RU,1627620344,77,68.0531,39.5131,47.32,4.97
Maragogi,55,BR,1627620346,86,-9.0122,-35.2225,72.77,3.2
Souillac,75,MU,1627620348,68,-20.5167,57.5167,73.36,17.27
Linxia Chengguanzhen,0,CN,1627620351,22,35.6003,103.2064,85.53,2.71
Qasigiannguit,82,GL,1627619835,83,68.8193,-51.1922,43.05,2.19
Trudovoye,90,RU,1627620353,74,43.3058,132.0817,83.93,6.71
Havelock,4,US,1627620353,86,34.8791,-76.9013,82.38,1.99
Dunedin,84,NZ,1627620328,81,-45.8742,170.5036,48.79,18.99
Nome,90,US,1627620355,93,64.5011,-165.4064,49.15,8.05
Saint Anthony,90,US,1627620356,73,45.0205,-93.218,71.74,1.99
Pierre,75,US,1627620357,58,44.3683,-100.351,75.06,3.0
Kemin,55,KG,1627620358,27,42.7846,75.6892,74.71,7.56
Waingapu,13,ID,1627620358,54,-9.6567,120.2641,86.52,15.97
Zhalantun,13,CN,1627620359,69,48.0,122.7167,81.97,7.63
College,75,US,1627620359,67,64.8569,-147.8028,69.75,4.61
Killarney,100,IE,1627620360,96,52.05,-9.5167,56.1,7.38
Vila,0,PT,1627620362,91,42.0304,-8.1588,50.32,2.26
Muros,77,ES,1627619830,92,42.7762,-9.0603,64.83,0.89
Necochea,0,AR,1627620363,63,-38.5473,-58.7368,41.04,11.86
Hong Kong,100,HK,1627620300,79,22.2855,114.1577,89.96,1.99
Ryl'sk,43,RU,1627620365,86,51.5655,34.6822,69.21,9.1
Kenai,90,US,1627620366,82,60.5544,-151.2583,57.02,10.36
Haines Junction,23,CA,1627620368,45,60.7522,-137.5108,64.35,8.05
Beringovskiy,100,RU,1627620369,92,63.05,179.3167,40.93,6.85
Acaraú,48,BR,1627620371,89,-2.8856,-40.12,76.6,7.34
Lodwar,93,KE,1627620372,53,3.1191,35.5973,77.59,14.61
Fier,0,AL,1627620374,28,40.7239,19.5561,84.92,3.78
Taree,0,AU,1627620375,30,-31.9,152.4667,69.06,11.5
Lodja,63,CD,1627620376,52,-3.4833,23.4333,70.63,1.03
Tabou,75,CI,1627619957,88,4.423,-7.3528,74.84,4.41
Kapoeta,96,SS,1627620377,57,4.7717,33.5903,76.91,7.96
Poum,2,NC,1627620379,71,-20.2333,164.0167,73.78,17.47
Mudgee,0,AU,1627620380,31,-32.5943,149.5871,59.61,8.05
Zheleznodorozhnyy,99,RU,1627620380,78,55.7503,38.0042,73.15,2.89
Zabid,49,YE,1627620382,55,14.1951,43.3152,89.91,11.65
Kieta,69,PG,1627620383,79,-6.2167,155.6333,82.99,5.3
Sioux Lookout,1,CA,1627620385,76,50.1001,-91.917,61.18,0.0
Saskylakh,17,RU,1627620385,33,71.9167,114.0833,88.34,5.73
Havøysund,98,NO,1627620387,81,70.9963,24.6622,47.28,12.21
Djibo,93,BF,1627620388,68,14.1022,-1.6306,80.6,11.68
Adet,100,ET,1627620390,88,11.2644,37.4888,59.34,2.08
Vardø,100,NO,1627620391,85,70.3705,31.1107,45.36,5.03
Carnarvon,40,AU,1627620393,58,-24.8667,113.6333,71.67,19.57
Soure,8,BR,1627620393,86,-0.7167,-48.5233,77.02,8.5
Berlevåg,100,NO,1627620395,84,70.8578,29.0864,44.6,4.34
Tanete,99,ID,1627619953,58,-3.9443,119.7848,87.94,10.22
Byron Bay,0,AU,1627620396,55,-28.65,153.6167,70.05,4.99
Vaitape,58,PF,1627620397,76,-16.5167,-151.75,78.19,13.8
Fethiye,0,TR,1627620399,25,36.6217,29.1164,80.47,7.2
Panguipulli,10,CL,1627620400,94,-39.6333,-72.3333,42.19,2.33
Manzhouli,100,CN,1627620401,90,49.6,117.4333,66.63,10.27
Saint George,90,US,1627620402,73,37.1041,-113.5841,78.35,10.36
Talnakh,100,RU,1627620403,92,69.4865,88.3972,57.76,2.35
Kruisfontein,30,ZA,1627620404,78,-34.0033,24.7314,48.83,4.92
Rurrenabaque,53,BO,1627620406,56,-14.4413,-67.5278,55.65,2.28
Naryan-Mar,33,RU,1627620408,66,67.6713,53.087,53.06,4.79
Amahai,95,ID,1627620409,82,-3.3333,128.9167,80.92,4.27
Saint-Philippe,91,RE,1627620409,81,-21.3585,55.7679,69.39,15.28
Pandan,100,PH,1627620412,57,14.0453,124.1694,90.91,12.97
Blairmore,36,CA,1627620412,56,49.6,-114.4353,71.29,2.3
Sumbawanga,1,TZ,1627620317,76,-7.9667,31.6167,53.4,6.91
Arraial do Cabo,98,BR,1627620413,56,-22.9661,-42.0278,63.09,20.31
Pokrovskoye,77,RU,1627620415,67,47.4157,38.8971,76.53,6.76
Yeppoon,0,AU,1627620416,52,-23.1333,150.7333,76.78,11.03
Porto Torres,0,IT,1627620417,60,40.835,8.3972,68.18,2.82
Tevaitoa,56,PF,1627620418,77,-16.7833,-151.5,77.83,13.71
Hambantota,0,LK,1627620420,62,6.1241,81.1185,89.94,13.8
Lixouri,0,GR,1627620420,48,38.2019,20.4314,73.26,3.09
Ust-Nera,32,RU,1627620421,41,64.5667,143.2,60.19,4.03
Río Gallegos,0,AR,1627620422,75,-51.6226,-69.2181,35.65,10.36
Muisne,98,EC,1627620424,84,0.6,-80.0333,74.7,8.52
Olinda,40,BR,1627620426,78,-8.0089,-34.8553,73.13,4.61
Catuday,100,PH,1627620427,84,16.2923,119.8062,81.07,21.27
San Jerónimo,77,PE,1627620428,70,-11.9472,-75.2829,48.85,2.75
Benguela,2,AO,1627620429,84,-12.5763,13.4055,68.59,1.88
Buala,9,SB,1627619948,70,-8.145,159.5921,84.45,7.72
Emerald,0,AU,1627620409,31,-23.5333,148.1667,79.34,6.91
Southbridge,100,US,1627620431,96,42.0751,-72.0334,70.68,1.01
Umluj,67,SA,1627620308,47,25.0213,37.2685,87.17,4.79
Acarí,45,PE,1627620432,75,-15.4311,-74.6158,64.06,3.36
Laas,39,IT,1627620434,88,46.6166,10.7002,63.86,2.04
Iqaluit,75,CA,1627620435,87,63.7506,-68.5145,44.33,4.0
Bang Saphan,100,TH,1627620436,75,11.2126,99.5117,84.15,7.63
Taldan,44,RU,1627620437,43,53.6667,124.8,71.55,8.61
Ibiúna,57,BR,1627620438,90,-23.6564,-47.2225,41.16,4.63
Kitgum,100,UG,1627620340,84,3.2783,32.8867,66.97,2.62
Quatre Cocos,92,MU,1627620440,65,-20.2078,57.7625,73.09,20.92
Porto-Vecchio,0,FR,1627620160,94,41.591,9.2795,72.93,3.44
Oussouye,98,SN,1627620442,85,12.485,-16.5469,77.02,3.4
Ayr,90,GB,1627620443,88,55.4627,-4.6339,58.48,3.44
Srednekolymsk,90,RU,1627620445,43,67.45,153.6833,52.52,7.58
Campbell River,20,CA,1627620425,57,50.0163,-125.2446,80.13,2.3
Sabang,98,ID,1627620446,79,5.8933,95.3214,80.87,18.66
Labuhan,22,ID,1627620447,52,-6.8844,112.2051,89.02,4.47
Titiribí,89,CO,1627620447,98,6.0628,-75.7937,66.49,0.92
Warri,83,NG,1627620448,90,5.5167,5.75,73.69,3.31
Mergen,31,CN,1627620163,74,49.1833,125.2167,79.79,3.15
Lorengau,44,PG,1627620451,67,-2.0226,147.2712,85.53,6.02
Maceió,20,BR,1627620451,100,-9.6658,-35.7353,67.44,4.61
Bambanglipuro,62,ID,1627620398,71,-7.95,110.2833,82.96,14.63
Mount Gambier,90,AU,1627620453,54,-37.8333,140.7667,57.11,19.57
Yatou,82,CN,1627620454,74,37.15,122.3833,81.82,20.0
Kitami,5,JP,1627620191,46,43.8031,143.8908,89.06,11.39
Rocha,6,UY,1627620454,83,-34.4833,-54.3333,38.59,4.72
Alice Springs,0,AU,1627620308,13,-23.7,133.8833,87.35,23.02
Katsuura,52,JP,1627620456,73,35.1333,140.3,87.84,6.98
Sackville,100,CA,1627620456,78,45.9188,-64.3846,63.48,10.02
Lunenburg,100,CA,1627620457,82,44.3835,-64.3155,62.65,4.61
Cabo San Lucas,2,MX,1627619874,78,22.8909,-109.9124,85.6,3.0
Houma,100,US,1627620458,94,29.5958,-90.7195,82.0,1.99
Alofi,84,NU,1627620459,88,-19.0595,-169.9187,73.29,5.75
Geraldton,75,AU,1627619908,63,-28.7667,114.6,65.12,24.16
Port-Gentil,86,GA,1627620461,76,-0.7193,8.7815,76.42,11.65
The Valley,100,AI,1627620463,77,18.217,-63.0578,82.26,18.72
Guerrero Negro,46,MX,1627620464,82,27.9769,-114.0611,70.65,15.23
Mount Isa,5,AU,1627620465,12,-20.7333,139.5,91.17,8.05
Baruun-Urt,3,MN,1627620465,38,46.6806,113.2792,80.92,9.01
Kununurra,3,AU,1627620466,19,-15.7667,128.7333,96.78,8.05
Marataizes,74,BR,1627620466,68,-21.0433,-40.8244,57.56,12.93
Udachny,44,RU,1627620469,30,66.4167,112.4,79.83,7.25
Dikson,100,RU,1627619888,98,73.5069,80.5464,39.87,17.38
Taltal,0,CL,1627620471,54,-25.4,-70.4833,61.79,2.8
Aksu,97,CN,1627619890,15,41.1231,80.2644,97.57,13.53
Ilulissat,57,GL,1627620472,75,69.2167,-51.1,42.82,1.14
Fortuna,90,US,1627620474,93,40.5982,-124.1573,55.09,4.61
Fereydūnkenār,100,IR,1627620475,75,36.6864,52.5225,71.91,8.37
Constitución,0,CL,1627620476,75,-35.3333,-72.4167,50.59,4.09
Sebastian,1,US,1627620477,68,35.1668,-94.2669,81.09,2.35
Torbay,1,CA,1627620478,88,47.6666,-52.7314,57.67,16.11
Karachi,75,PK,1627620480,79,24.9056,67.0822,84.02,17.27
Toba Tek Singh,69,PK,1627620480,52,30.9743,72.4827,95.85,6.38
Brae,100,GB,1627620481,95,60.3964,-1.353,53.51,10.16
Xichang,94,CN,1627620483,75,27.8964,102.2634,75.81,4.0
Grindavik,0,IS,1627620483,94,63.8424,-22.4338,57.15,1.14
Meadow Lake,66,US,1627620484,43,34.8014,-106.5436,78.67,9.66
Coari,59,BR,1627620486,69,-4.085,-63.1414,71.85,3.62
Acapulco de Juárez,99,MX,1627620487,93,16.8634,-99.8901,77.86,6.98
Chumikan,100,RU,1627620488,94,54.7183,135.315,51.6,25.19
Gorontalo,46,ID,1627620490,63,0.5412,123.0595,88.7,8.08
Balabac,99,PH,1627620490,66,7.9868,117.0645,87.46,13.51
Ambanja,0,MG,1627620490,62,-13.6833,48.45,64.33,2.71
Calabozo,24,VE,1627620492,94,8.9242,-67.4293,72.14,3.31
Marysville,1,US,1627620493,76,48.0518,-122.1771,75.09,1.01
San Cristobal,67,VE,1627619956,96,7.7669,-72.225,64.08,4.63
Ginda,95,IN,1627620494,79,30.6945,78.4932,72.16,3.67
Price,90,US,1627620495,94,39.5994,-110.8107,63.66,10.36
São Filipe,39,CV,1627619924,80,14.8961,-24.4956,74.26,3.58
Boyolangu,83,ID,1627620496,68,-8.1181,111.8935,82.44,10.16
Caucayá,93,CO,1627620496,99,-0.1934,-74.7819,69.75,1.32
Ninghai,95,CN,1627620498,88,29.2892,121.4247,91.08,4.7
Nizwá,84,OM,1627620498,41,22.9333,57.5333,91.8,6.8
Te Anau,100,NZ,1627620499,87,-45.4167,167.7167,49.93,0.74
Ancud,100,CL,1627620500,89,-41.8697,-73.8203,45.93,12.86
Kaeo,73,NZ,1627620502,85,-35.1,173.7833,61.32,13.13
Tyumentsevo,11,RU,1627620502,33,53.3224,81.498,71.82,10.47
Kudahuvadhoo,87,MV,1627620504,71,2.6708,72.8944,81.95,3.29
Podlesnoye,17,RU,1627620504,63,51.8161,47.009,77.09,4.34
Kavieng,83,PG,1627620506,69,-2.5744,150.7967,84.43,2.84
Xiongzhou,80,CN,1627620487,49,25.1167,114.3,97.07,2.35
Arlit,6,NE,1627619946,45,18.7369,7.3853,89.6,10.4
Piura,98,PE,1627620333,76,-5.2,-80.6333,68.79,11.16
Fort Nelson,20,CA,1627620508,68,58.8053,-122.7002,67.59,2.3
Samarai,54,PG,1627620510,85,-10.6167,150.6667,80.28,15.82
Krasnosel'kup,11,RU,1627620511,49,65.7,82.4667,62.82,12.5
Qingdao,90,CN,1627620512,78,36.0986,120.3719,78.4,6.71
Okhotsk,29,RU,1627619927,46,59.3833,143.3,62.19,8.39
Avera,4,US,1627620513,63,33.194,-82.5271,84.07,6.87
Doha,0,QA,1627620362,41,25.2867,51.5333,100.38,8.05
Tuatapere,100,NZ,1627620514,87,-46.1333,167.6833,52.83,3.96
Viedma,3,AR,1627620514,29,-40.8135,-62.9967,52.11,18.28
Santana,40,BR,1627620516,94,-0.0583,-51.1817,78.98,3.44
Coahuayana Viejo,58,MX,1627620518,87,18.7333,-103.6833,78.66,2.39
Naze,92,JP,1627619931,81,28.3667,129.4833,85.12,0.94
Tucupita,64,VE,1627620519,99,9.0622,-62.051,71.56,3.15
Manadhoo,12,MV,1627620520,73,5.7667,73.3833,82.56,8.7
Usinsk,37,RU,1627620488,61,65.9939,57.5281,54.28,6.85
Ji’an,23,CN,1627620498,51,27.1172,114.9793,95.22,5.14
Makueni Boma,94,KE,1627620521,80,-1.8041,37.6203,60.8,2.71
Huarmey,45,PE,1627620522,85,-10.0681,-78.1522,64.44,6.33
Puerto Carreño,100,CO,1627620524,96,6.189,-67.4859,74.23,3.4
Paamiut,100,GL,1627620526,87,61.994,-49.6678,43.29,5.79
Launceston,90,AU,1627620527,68,-41.45,147.1667,55.62,5.99
Lima,90,PE,1627620252,88,-12.0432,-77.0282,59.25,10.36
Limoeiro do Ajuru,78,BR,1627620528,90,-1.8953,-49.3806,75.42,4.63
